year,team,division_rank,playoffs,attendance_game_avg,attendance_league_rank,est_payroll,ppf,bpf,stadium
2009,OAK,4,0,17392,14th of 14,65945000.0,98,98,Oakland-Alameda County Coliseum
2010,OAK,2,0,17511,13th of 14,57904900.0,99,99,Oakland-Alameda County Coliseum
2011,OAK,3,0,18232,14th of 14,67094000.0,98,98,O.co Coliseum
2012,OAK,1,1,20729,12th of 14,61202500.0,95,95,O.co Coliseum
2013,OAK,1,1,22337,9th of 15,69440000.0,97,98,O.co Coliseum
2014,OAK,2,1,24736,10th of 15,89160900.0,97,98,O.co Coliseum
2015,OAK,5,0,21829,12th of 15,64016001.0,97,97,O.co Coliseum
2016,OAK,5,0,18784,14th of 15,54969067.0,97,96,Oakland-Alameda County Coliseum
2017,OAK,5,0,18219,14th of 15,51560000.0,95,95,Oakland-Alameda County Coliseum
2018,OAK,2,1,19427,13th of 15,69883333.0,97,97,Oakland-Alameda County Coliseum
2019,OAK,2,1,20521,11th of 15,102935833.0,93,95,Oakland-Alameda County Coliseum
1995,PHI,2,0,28383,4th of 14,30555945.0,100,99,Veterans Stadium
1996,PHI,5,0,22243,9th of 14,34314500.0,101,99,Veterans Stadium
1997,PHI,5,0,18403,14th of 14,36656500.0,101,100,Veterans Stadium
1998,PHI,3,0,21182,14th of 16,36297500.0,103,102,Veterans Stadium
1999,PHI,3,0,22535,12th of 16,31897500.0,105,104,Veterans Stadium
2000,PHI,5,0,19911,13th of 16,47513000.0,101,100,Veterans Stadium
2001,PHI,2,0,22001,14th of 16,41663833.0,97,97,Veterans Stadium
2002,PHI,3,0,20231,14th of 16,57954999.0,94,94,Veterans Stadium
2003,PHI,3,0,27901,10th of 16,70780000.0,93,93,Veterans Stadium
2004,PHI,2,0,40125,2nd of 16,93219167.0,104,105,Citizens Bank Park
2005,PHI,2,0,32905,9th of 16,95522000.0,104,105,Citizens Bank Park
2006,PHI,2,0,33356,7th of 16,88273333.0,104,105,Citizens Bank Park
2007,PHI,1,1,38374,6th of 16,89428213.0,103,104,Citizens Bank Park
2008,PHI,1,2,42254,4th of 16,97879880.0,101,102,Citizens Bank Park
2009,PHI,1,1,44453,2nd of 16,115479046.0,100,101,Citizens Bank Park
2010,PHI,1,1,44968,1st of 16,141928379.0,101,102,Citizens Bank Park
2011,PHI,1,1,45441,1st of 16,172976379.0,100,101,Citizens Bank Park
2012,PHI,3,0,44021,1st of 16,171501558.0,102,102,Citizens Bank Park
2013,PHI,4,0,37190,4th of 15,150860000.0,100,100,Citizens Bank Park
2014,PHI,5,0,29924,10th of 15,176444967.0,102,101,Citizens Bank Park
2015,PHI,5,0,22606,14th of 15,103082167.0,98,97,Citizens Bank Park
2016,PHI,4,0,23644,13th of 15,84846666.0,100,99,Citizens Bank Park
2017,PHI,5,0,23523,13th of 15,86276000.0,99,98,Citizens Bank Park
2018,PHI,3,0,26644,12th of 15,93874333.0,102,102,Citizens Bank Park
2019,PHI,4,0,33672,6th of 15,141786962.0,102,102,Citizens Bank Park
1995,PIT,5,0,12577,14th of 14,18355345.0,102,101,Three Rivers Stadium
